Date,GSPC,SPY,MSFT,AMD
1995-01-03 00:00:00-05:00,459.1099853515625,26.9870548248291,2.3194539546966553,12.5
1995-01-04 00:00:00-05:00,460.7099914550781,27.115999221801758,2.336313009262085,12.8125
1995-01-05 00:00:00-05:00,460.3399963378906,27.115999221801758,2.2977757453918457,12.75
1995-01-06 00:00:00-05:00,460.67999267578125,27.143653869628906,2.336313009262085,13.9375
1995-01-09 00:00:00-05:00,460.8299865722656,27.171279907226562,2.321861743927002,14.4375
1995-01-10 00:00:00-05:00,461.67999267578125,27.198915481567383,2.350764751434326,14.5625
1995-01-11 00:00:00-05:00,461.6600036621094,27.21734046936035,2.365215539932251,14.3125
1995-01-12 00:00:00-05:00,461.6400146484375,27.226551055908203,2.360398530960083,15.875
1995-01-13 00:00:00-05:00,465.9700012207031,27.548913955688477,2.4182040691375732,15.75
1995-01-16 00:00:00-05:00,469.3800048828125,27.71470069885254,2.4711928367614746,15.9375
1995-01-17 00:00:00-05:00,470.04998779296875,27.723918914794922,2.490462064743042,15.75
1995-01-18 00:00:00-05:00,469.7099914550781,27.696287155151367,2.507321357727051,16.0625
1995-01-19 00:00:00-05:00,466.95001220703125,27.53969955444336,2.4471077919006348,16.0
1995-01-20 00:00:00-05:00,464.7799987792969,27.43837547302246,2.374849796295166,15.6875
1995-01-23 00:00:00-05:00,465.82000732421875,27.521284103393555,2.4206128120422363,15.375
1995-01-24 00:00:00-05:00,465.8599853515625,27.55811309814453,2.3899030685424805,15.625
1995-01-25 00:00:00-05:00,467.44000244140625,27.63180160522461,2.3796677589416504,15.25
1995-01-26 00:00:00-05:00,468.32000732421875,27.6594295501709,2.307410478591919,15.0625
1995-01-27 00:00:00-05:00,470.3900146484375,27.76997184753418,2.307410478591919,15.125
1995-01-30 00:00:00-05:00,468.510009765625,27.650236129760742,2.2736897468566895,14.875
1995-01-31 00:00:00-05:00,470.4200134277344,27.760757446289062,2.2881417274475098,14.6875
1995-02-01 00:00:00-05:00,470.3999938964844,27.751556396484375,2.278507947921753,15.125
1995-02-02 00:00:00-05:00,472.7900085449219,27.917333602905273,2.2736897468566895,15.4375
1995-02-03 00:00:00-05:00,478.6499938964844,28.313398361206055,2.317044496536255,15.6875
1995-02-06 00:00:00-05:00,481.1400146484375,28.43312644958496,2.345947027206421,15.8125
1995-02-07 00:00:00-05:00,480.80999755859375,28.469961166381836,2.350764751434326,15.25
1995-02-08 00:00:00-05:00,481.19000244140625,28.469961166381836,2.3844847679138184,15.3125
1995-02-09 00:00:00-05:00,480.19000244140625,28.469961166381836,2.3844847679138184,15.625
1995-02-10 00:00:00-05:00,481.4599914550781,28.506820678710938,2.38930082321167,15.75
1995-02-13 00:00:00-05:00,481.6499938964844,28.51602554321289,2.38930082321167,15.5
1995-02-14 00:00:00-05:00,482.54998779296875,28.5528621673584,2.3844847679138184,15.375
1995-02-15 00:00:00-05:00,484.5400085449219,28.709447860717773,2.341130018234253,15.375
1995-02-16 00:00:00-05:00,485.2200012207031,28.672597885131836,2.345947027206421,15.5625
1995-02-17 00:00:00-05:00,481.9700012207031,28.562070846557617,2.3266799449920654,15.375
1995-02-21 00:00:00-05:00,482.7200012207031,28.5528621673584,2.30259370803833,14.8125
1995-02-22 00:00:00-05:00,485.07000732421875,28.764724731445312,2.370032548904419,15.0
1995-02-23 00:00:00-05:00,486.9100036621094,28.810754776000977,2.374849796295166,14.75
1995-02-24 00:00:00-05:00,488.1099853515625,28.884441375732422,2.360398530960083,14.875
1995-02-27 00:00:00-05:00,483.80999755859375,28.6541748046875,2.3796677589416504,14.75
1995-02-28 00:00:00-05:00,487.3900146484375,28.893674850463867,2.42783784866333,15.1875
1995-03-01 00:00:00-05:00,485.6499938964844,28.709447860717773,2.4374735355377197,14.9375
1995-03-02 00:00:00-05:00,485.1300048828125,28.746288299560547,2.4567413330078125,14.875
1995-03-03 00:00:00-05:00,485.4200134277344,28.755495071411133,2.4519248008728027,15.75
1995-03-06 00:00:00-05:00,485.6300048828125,28.7739200592041,2.4784181118011475,17.125
1995-03-07 00:00:00-05:00,482.1199951171875,28.5528621673584,2.518160343170166,16.8125
1995-03-08 00:00:00-05:00,483.1400146484375,28.626548767089844,2.6397924423217773,16.75
1995-03-09 00:00:00-05:00,483.1600036621094,28.61733055114746,2.6157078742980957,17.0625
1995-03-10 00:00:00-05:00,489.57000732421875,29.041019439697266,2.6422009468078613,16.9375
1995-03-13 00:00:00-05:00,490.04998779296875,29.01339340209961,2.6590611934661865,17.25
1995-03-14 00:00:00-05:00,492.8900146484375,29.22524070739746,2.765038013458252,17.4375
1995-03-15 00:00:00-05:00,491.8800048828125,29.16998291015625,2.716867685317993,17.3125
1995-03-16 00:00:00-05:00,495.4100036621094,29.344980239868164,2.7024152278900146,17.5
1995-03-17 00:00:00-05:00,495.5199890136719,29.374181747436523,2.6951904296875,17.25
1995-03-20 00:00:00-05:00,496.1400146484375,29.374181747436523,2.740952968597412,17.25
1995-03-21 00:00:00-05:00,495.07000732421875,29.300085067749023,2.714458703994751,17.0
1995-03-22 00:00:00-05:00,495.6700134277344,29.327869415283203,2.7337262630462646,16.625
1995-03-23 00:00:00-05:00,495.95001220703125,29.346385955810547,2.803575038909912,17.5
1995-03-24 00:00:00-05:00,500.9700012207031,29.763107299804688,2.846930742263794,17.1875
1995-03-27 00:00:00-05:00,503.20001220703125,29.883495330810547,2.8132100105285645,17.4375
1995-03-28 00:00:00-05:00,503.8999938964844,29.883495330810547,2.8372957706451416,17.375
